latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.40872,47.33572,302.44,1.58,1.24,2025-04-22,0009,A,49,6.1NRT,290.18,9.66,N
30.40423,47.34412,301.26,1.59,1.24,2025-04-22,0009,A,39,6.1NRT,289.7,9.17,N
30.35831,47.34901,301.5,1.59,1.24,2025-04-22,0009,A,42,6.1NRT,290.54,9.2,N
30.28635,47.72398,302.54,1.69,1.28,2025-04-22,0009,A,41,6.1NRT,289.25,11.4,N
30.27533,47.72111,308.14,1.69,1.28,2025-04-22,0009,A,74,6.1NRT,289.4,18.51,N
30.32046,47.35075,301.21,1.6,1.24,2025-04-22,0009,A,39,6.1NRT,290.28,8.79,N
30.2852,47.35844,307.88,1.6,1.25,2025-04-22,0009,A,73,6.1NRT,290.48,17.11,N
30.28219,47.37438,301.78,1.6,1.25,2025-04-22,0009,A,44,6.1NRT,290.45,9.66,N
30.21133,47.38985,307.63,1.61,1.25,2025-04-22,0009,A,72,6.1NRT,290.75,15.63,N
30.20822,47.40588,306.66,1.62,1.25,2025-04-22,0009,A,69,6.1NRT,290.68,14.34,N
30.21829,47.40132,319.73,1.62,1.25,2025-04-22,0009,A,99,6.1NRT,291.46,35.2,N
30.16892,47.4225,312.47,1.62,1.25,2025-04-22,0009,A,85,6.1NRT,291.19,23.55,N
29.01064,47.74528,323.45,1.81,1.32,2025-04-22,0009,A,100,6.1NRT,290.88,53.01,N
29.00721,47.76307,309.44,1.81,1.32,2025-04-22,0009,A,77,6.1NRT,290.78,23.91,N
10.05977,-64.88453,312.04,2.17,1.43,2025-04-22,0115,T,66,6.1NRT,291.48,27.2,N
10.07226,-64.88676,307.54,2.17,1.43,2025-04-22,0115,T,25,6.1NRT,291.76,16.32,N
18.30549,-71.12568,305.03,4.54,1.96,2025-04-22,0117,T,63,6.1NRT,292.81,47.26,N
18.29751,-71.16637,317.38,4.57,1.96,2025-04-22,0117,T,95,6.1NRT,292.34,128.92,N
18.30828,-71.13136,308.89,4.54,1.96,2025-04-22,0117,T,76,6.1NRT,292.69,72.83,N
18.30004,-71.17201,315.21,4.57,1.96,2025-04-22,0117,T,91,6.1NRT,292.3,115.2,N
-25.69538,-57.46648,301.83,2.06,1.4,2025-04-22,0105,T,45,6.1NRT,282.81,19.6,N
-18.49924,-49.8349,300.84,1.19,1.09,2025-04-22,0107,T,34,6.1NRT,290.73,4.51,N
-14.65729,-50.19167,304.83,1.28,1.12,2025-04-22,0107,T,59,6.1NRT,293.59,6.13,N
-13.13208,-53.25311,303.5,1.01,1,2025-04-22,0109,T,55,6.1NRT,292.39,3.46,N
-6.57311,-51.10423,301.17,1.47,1.2,2025-04-22,0109,T,37,6.1NRT,281,8.43,N
8.21415,-62.90771,305.97,1.64,1.26,2025-04-22,0113,T,66,6.1NRT,293.9,8.86,N
8.68429,-62.38894,304.39,1.48,1.2,2025-04-22,0113,T,57,6.1NRT,294.18,6.43,N
8.9003,-63.54169,316.95,1.79,1.31,2025-04-22,0113,T,94,6.1NRT,292.86,30.03,N
8.89789,-63.5574,317.39,1.79,1.31,2025-04-22,0113,T,95,6.1NRT,292.67,31.03,N
8.77031,-64.8063,304.55,2.26,1.46,2025-04-22,0113,T,61,6.1NRT,291.15,13.42,N
9.07536,-62.92248,304.48,1.59,1.24,2025-04-22,0113,T,60,6.1NRT,294.33,7.1,N
